# E0 N x NE mu
-0.310291110938 120 400.000000000000 5 10.000000000000
-0.310674953648 120 450.000000000000 5 10.606601717798
-0.310998705137 120 500.000000000000 5 11.180339887499
-0.311276521428 120 550.000000000000 5 11.726039399559
-0.311518297169 120 600.000000000000 5 12.247448713916
-0.311731183415 120 650.000000000000 5 12.747548783982
-0.311920493752 120 700.000000000000 5 13.228756555323
-0.312090269248 120 750.000000000000 5 13.693063937629
-0.312243644843 120 800.000000000000 5 14.142135623731
-0.312383094186 120 850.000000000000 5 14.577379737113
-0.312510599193 120 900.000000000000 5 15.000000000000
-0.312627768745 120 950.000000000000 5 15.411035007422
-0.312735923729 120 1000.000000000000 5 15.811388300842
-0.297670792237 140 50.000000000000 5 3.535533905933
-0.303610137543 140 100.000000000000 5 5.000000000000
